job_id,job_title,date_downloaded,approach,grade,search_term,count,eo,heo_seo,g7
1565079,Senior Data Scientist / Data Scientist,2018-02-13,External,"Senior Executive Officer, Grade 7",data scien,TRUE,TRUE,TRUE,TRUE
1589836,"Delivery Manager, Data Science and Internal Digital Services",2018-08-23,External,Grade 7,data scien,TRUE,TRUE,FALSE,TRUE
1603010,Senior Data Scientists and Data Scientists,2018-10-13,External,"Senior Executive Officer, Grade 7",data scien,TRUE,TRUE,TRUE,TRUE
1565926,Data Scientist,2018-01-02,Across government,Senior Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1564140,Lead Data Scientist,2018-02-08,External,Grade 6,data scien,TRUE,TRUE,FALSE,TRUE
1583339,"Data Scientist, Team Leader",2018-05-08,Across government,Grade 7,data scien,TRUE,TRUE,FALSE,TRUE
1583344,"Data Scientist, SEO",2018-05-08,Across government,Senior Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1583351,"Data Scientist, HEO",2018-05-08,Across government,Higher Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1568426,Senior Data Scientist,2018-01-11,External,Senior Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1595555,Data Science Training Associate,2018-08-06,External,Higher Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1589063,"SEO Business Analyst, Data Science and Internal Digital Services",2018-06-28,External,Senior Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1600463,G7 Principal Data Scientist,2018-09-15,External,Grade 7,data scien,TRUE,TRUE,FALSE,TRUE
1583063,Senior Data Scientist / Data Scientist,2018-05-17,External,"Senior Executive Officer, Grade 7",data scien,TRUE,TRUE,TRUE,TRUE
1601157,Data Scientist,2018-09-17,Across government,Higher Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1574678,SEO Analytic Data Scientist,2018-02-27,Across government,Senior Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1595989,Teachers Analysis Division G7 Data Scientist,2018-08-14,Across government,Grade 7,data scien,TRUE,TRUE,FALSE,TRUE
1600715,SEO Senior Data Scientist,2018-09-15,External,Senior Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1577920,SG/B1/Aberdeen/Fisheries Data Scientist,2018-03-27,Across government,Executive Officer,data scien,TRUE,TRUE,FALSE,FALSE
1605290,Head of Data Science and HR - Analytical Services,2018-10-18,External,SCS Pay Band 1,data scien,TRUE,TRUE,FALSE,FALSE
1592614,Data Scientist,2018-07-20,External,Executive Officer,data scien,TRUE,TRUE,FALSE,FALSE
1573926,Data Scientist,2018-02-20,External,Senior Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1573249,G7 Data Scientist- Institute for Apprenticeships,2018-02-13,Across government,Grade 7,data scien,TRUE,TRUE,FALSE,TRUE
1578639,Higher Data Scientist,2018-03-28,Across government,Higher Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1591684,PB5 Registrar & Assurance Data Scientist,2018-07-12,External,Senior Executive Officer,data scien,TRUE,TRUE,TRUE,FALSE
1604672,"Data Scientist (Maths, Computer Science)",2018-10-13,External,"Higher Executive Officer, Senior Executive Officer",data scien,TRUE,TRUE,TRUE,FALSE
1577013,Team Leader: Business Intelligence and Spatial Data Science (Ref: 17042),2018-03-14,Across government,Grade 7,data scien,TRUE,TRUE,FALSE,TRUE
