long,lat,postcode,location
-0.12466,51.49984,SW1A 0AA,London
-0.13097,51.49877,SW1H 0ET,"City of Westminster, London, SW1H 0ET"
-0.12933,51.49463,SW1P 4DR,"City of Westminster, London, SW1P 4DR"
-0.12807,51.50246,SW1A 2AH,"Whitehall, City of Westminster, London, SW1A 2AH"
-0.12971,51.49579,SW1P 4DF,"City of Westminster, London, "
-0.12925,51.50176,SW1A 2HQ,"City of Westminster, London, SW1A 2HQ"
-0.10216,51.37625,CR0 1TY,"Croydon, London"
-3.17367,55.97835,EH6 6QQ,"Edinburgh, Scotland, EH6 6QQ"
-0.12679,51.50164,SW1A 2BQ,"City of Westminster, London, SW1A 2BQ"
-0.12545,51.50564,SW1A 2HB,"City of Westminster, London, SW1A 2HB"
-2.55906,51.50283,BS34 8JH,"MOD Abbey Wood, Filton, Bristol, BS34 8JH"
-4.22424,55.76092,G75 8EA,"East Kilbride, Scotland"
-0.13462,51.50003,SW1H 9AJ,"102 Petty France
Westminster
London
SW1H 9AJ"
-1.50677,52.40354,CV1 2LN,"Coventry, West Midlands"
-0.12466,51.49984,SW1A 0AA,"London, SW1"
-0.07294,51.51458,E1 8QS,"The White Chapel Building, Aldgate East, London, E1 8QS"
-0.12466,51.49984,SW1A 0AA,"London, SW1A"
-2.1855,51.4344,SN13 9NR,"Corsham, South West, SN13 9NR"
-0.2912,51.48522,TW9 3AE,"Richmond upon Thames, London, TW9 3AE"
-2.24983,53.47737,M3 4EN,"Manchester, North West"
-1.52495,51.20786,SP11 8HJ,"Andover, South East, SP11 8HJ"
-2.98897,53.40236,L1 8LW,"Liverpool, North West"
-4.22424,55.76092,G75 8EA,"East Kilbride, Scotland : London"
-0.12466,51.49984,SW1A 0AA,"East Kilbride, Scotland : London"
-2.58323,51.45023,BS1 6EH,"Bristol, South West"
-4.26434,55.85725,G2 8LU,"Glasgow, Scotland, G2 8LU"
-0.25467,51.59493,NW9 5EQ,"London, NW9 5EQ"
-1.47001,53.38037,S1 2HH,"Sheffield, Yorkshire and the Humber"
-4.24525,55.86075,G1 1YU,"Glasgow, Scotland"
-1.54347,53.79428,LS1 4AG,"Leeds, Yorkshire and the Humber"
-0.13097,51.49877,SW1H 0ET,1 Victoria Street London
-0.11898,52.34874,PE28 2EA,"Huntingdon, Eastern, PE28 2EA"
-3.2043,55.95109,EH2 4AD,"Edinburgh, Scotland"
-1.14729,52.95778,NG1 3QN,"Nottingham, East Midlands"
-3.18389,55.95365,EH1 3DG,"Edinburgh, Scotland, EH1 3DG"
-0.10884,51.50176,SE1 8UG,"London, SE1 8UG"
-3.27629,55.93083,EH11 3XD,"Edinburgh, Scotland, EH11 3XD"
-3.17176,51.47892,CF10 2EQ,"Cardiff, Wales"
-1.4141,50.90933,SO15 1EG,"Southampton, South East, SO15 1EG"
-1.89949,52.4804,B2 5PG,"Birmingham, West Midlands"
-1.5958,54.97228,NE1 2AN,"Newcastle-upon-Tyne, North East, Newcastle upon Tyne"
-1.52053,51.20631,SP11 8HT,"Andover, South East, SP11 8HT"
-0.10216,51.37625,CR0 1TY,Croydon
-0.13097,51.49877,SW1H 0ET,"1 Victoria Street, London."
-2.55906,51.50283,BS34 8JH,"Stoke Gifford, South West, BS34 8JH"
-0.12664,51.50365,SW1A 2AS,"This position is based at 70 Whitehall, London"
-1.78587,51.56042,SN1 1LF,"Swindon, South West"
-0.12925,51.50176,SW1A 2HQ,"This position is based at 1 Horse Guards Road, London"
-0.12214,51.5192,WC1B 4AD,"London, WC1B 4AD"
-0.80966,52.10322,MK19 7BH,"Milton Keynes, South East, MK19 7BH"
-1.79612,52.56809,B75 7RL,"Royal Sutton Coldfield, West Midlands, B75 7RL"
-3.94545,51.67,SA6 7JL,"Swansea, Wales, SA6 7JL : Swansea, Wales"
-1.54347,53.79428,LS1 4AG,"Leeds, Yorkshire and the Humber : London"
-0.12466,51.49984,SW1A 0AA,"Leeds, Yorkshire and the Humber : London"
-3.18858,51.49991,CF14 3UZ,"Cardiff, Wales, CF14 3UZ"
-0.4936,51.35355,KT15 3NB,"New Haw, South East, KT15 3NB"
-0.13462,51.50003,SW1H 9AJ,"102 Petty France, London, SW1H 9AJ"
-0.12466,51.49984,SW1A 0AA,"Westminster, London"
-2.9993,53.40874,L3 1QY,"Liverpool, North West, L3 1QY"
-0.13462,51.50003,SW1H 9AJ,102 PETTY FRANCE (MOJ) LONDON
-1.50677,52.40354,CV1 2LN,"Coventry, West Midlands : London"
-2.58323,51.45023,BS1 6EH,"Bristol, South West, BS1 6EH"
-1.2471,50.86267,PO15 5RR,"Office for National Statistics, Segensworth Road, Titchfield, Fareham, Hants PO15 5RR"
-0.13519,51.49788,SW1H 0TL,"City of Westminster, London, SW1H 0TL"
-4.24525,55.86075,G1 1YU,"Glasgow or London, Canary Wharf"
-0.02208,51.50451,E14 4PU,"Glasgow or London, Canary Wharf"
-5.92229,54.60244,BT1 1AA,"Belfast, Northern Ireland"
-2.99295,53.45173,L20 4SZ,"Bootle, North West"
-0.13462,51.50003,SW1H 9AJ,"102 Petty France, London SW1H 9AJ"
-3.17367,55.97835,EH6 6QQ,"Edinburgh, Scotland, EH6 6QQ : Glasgow, Scotland, G2 8LU"
-4.26434,55.85725,G2 8LU,"Edinburgh, Scotland, EH6 6QQ : Glasgow, Scotland, G2 8LU"
-1.09244,50.80173,PO1 4RL,"Portsmouth, South East"
-3.94545,51.67,SA6 7JL,"Swansea, Wales, SA6 7JL"
-0.40931,51.61904,HA6 3HP,"Northwood, Eastern, HA6 3HP"
-1.13559,52.94511,NG2 1BA,"Nottingham, East Midlands, NG2 1BA"
-0.80273,51.68108,HP14 4UE,"Walter's Ash, South East, HP14 4UE"
-1.2471,50.86267,PO15 5RR,"Fareham, South East, PO15 5RR"
-2.28666,53.48896,M6 5JA,"Salford, North West"
-1.96922,51.5057,SN15 4XX,"Lyneham, South West, SN15 4XX"
-0.14412,51.49339,SW1V 1PN,"Globe House, 89 Eccleston Square, London SW1V 1PN"
-0.09836,51.37838,CR9 2BY,"Croydon, London, CR9 2BY"
-1.77751,51.29204,SN9 6BE,"Pewsey, South West, SN9 6BE"
-0.12807,51.50246,SW1A 2AH,"LONDON, City of Westminster, London, SW1A 2AH"
-0.02208,51.50451,E14 4PU,"London, Canary Wharf"
-2.56765,51.45869,BS5 0DA,"Bristol, South West, BS5 0DA"
-3.29008,55.94036,EH12 7TF,"Edinburgh, Scotland, EH12 7TF"
-1.15397,52.95476,NG1 6LP,"Nottingham, East Midlands, NG1 6LP"
1.73987,52.4588,NR33 0HT,"Lowestoft, Eastern, NR33 0HT"
-1.58176,55.0028,NE98 1ZZ,"Newcastle upon Tyne, North East, NE98 1ZZ"
-2.59005,51.45718,BS1 3DX,"Bristol, South West : London : York, Yorkshire and the Humber"
-0.12466,51.49984,SW1A 0AA,"Bristol, South West : London : York, Yorkshire and the Humber"
-1.08583,53.96088,YO1 7DT,"Bristol, South West : London : York, Yorkshire and the Humber"
-1.32339,51.11295,SO21 2RG,"Winchester, South East, SO21 2RG"
-1.09983,50.81492,PO2 8BY,"Portsmouth, South East, PO2 8BY"
-0.13132,51.50017,SW1H 9NA,"City of Westminster, London, SW1H 9NA"
-0.13462,51.50003,SW1H 9AJ,102 PETTY FRANCE LONDON
-0.27956,51.48111,TW9 4DU,"Kew, Richmond upon Thames, London, TW9 4DU"
