postcode,long,lat
GL4 3BD,-2.213987,51.862259
DE5 3RS,-1.39826,53.058122
M60 9DX,-2.251354,53.482055
NG34 8FP,-0.468009,53.038041
HU17 8PS,-0.436414,53.829683
YO1 7DS,-1.086203,53.961417
EC1R 0HB,-0.107265,51.525055
LS2 9JT,-1.553329,53.807958
SW1H 0BD,-0.133879,51.49961
SE1 6SB,-0.101844,51.494914
HD1 3DH,-1.778726,53.643678
W1W 7BY,-0.141355,51.518138
SW1H 9NB,-0.131934,51.499956
BS1 4TY,-2.596674,51.45392
SW1V 5RR,-0.139963845890411,51.4894559366439
PO15 1QQ,-1.2267186440678,50.866420155624
L36 9US,-2.84202,53.410154
LS1 4UE,-1.556217,53.797633
CF3 5EA,-3.106334,51.53047
L2 8TD,-2.993262,53.406521
PR2 2PD,-2.751797,53.760376
ST1 5RG,-2.195877,53.024666
LN5 7QY,-0.557203096288867,53.1741486479438
RH1 6BN,-0.157860618153365,51.237430988263
GH1 4RS,NA,NA
NE98 1YZ,-1.5983485,54.9722948
DH99 1NS,-1.578053,54.779259
WD17 1ST,-0.405724428571429,51.6637376936317
WA7 2HA,-2.696217,53.329091
EH12 4WN,-3.2789377414966,55.9419635314625
GU15 4LZ,-0.744128,51.349462
HU3 1DS,-0.355069,53.746195
G2 8JZ,-4.2562801087344,55.8629021158648
NP44 3YA,-3.021274,51.651298
TW18 1XH,-0.498096,51.429098
DD2 1DX,-3.058996,56.467734
PL6 5YE,-4.121087,50.416684
PO1 2PJ,-1.090381,50.795801
ST5 5DT,-2.23952220887338,53.0152931809572
CV47 2UD,-1.443832,52.165686
PH50 4SH,-4.960584,56.714029
B75 7NY,-1.797342,52.56887
NP4 0TB,-2.943036,51.678354
ST1 2QB,-2.172275,53.031813
GU11 1PS,-0.770239,51.254242
RG30 1HW,-1.003509,51.458374
L22 0PB,-3.022563,53.474752
PR8 1HE,-3.004046,53.644284
GU11 2AQ,-0.742699,51.256105
PL1 2DP,-4.139574,50.369287
G2 4PH,-4.269992,55.863796
MK17 9BH,-0.698054,51.949916
DL9 4SP,-1.711312,54.362247000000004
B1 2RA,-1.913283,52.480898
EH12 5NW,-3.23417,55.945183
P01 3GX,NA,NA
WA7 2UR,-2.693981,53.32636
BT15 3FR,-5.934829,54.62319
EH13 0LA,-3.24972,55.909973
CF14 5GF,-3.191498,51.522615
EC1N 2NQ,-0.108837206060606,51.5198872
WA10 1SZ,-2.736751,53.454933
BS2 0ES,-2.578927,51.451364
SW1 2HG,NA,NA
EH12 5WS,-3.221954,55.945223
M21 9LH,-2.280694,53.443501
BL9 5DE,-2.291389,53.602463
M16 8JN,-2.257592,53.447318
SK4 2PB,-2.172639,53.4203
SP4 8RB,-1.820508,51.198175
B26 2SE,-1.788472,52.468123
KY1 1ED,-3.160737,56.110885
DD11 5JS,-2.57817,56.568724
EH1 2NG,-3.201478,55.948965
SP11 8HU,-1.564298,51.217815
E14 5LQ,-0.018366,51.504083
CM2 0RG,0.4688,51.729727
CT1 3JG,1.083295,51.274654
GU1 1EJ,-0.577594,51.244704
ST1 5RU,-2.199535,53.025828
LU1 5BL,-0.420285,51.878233
PO1 3BY,-1.103838,50.799266
PE25 3TB,0.322506,53.139337
TQ4 7PD,-3.596678,50.422641
FY4 4ES,-3.025744,53.798945
CW8 2ES,-2.614543,53.214716
SW1A 2BZ,-0.132239061643836,51.5044692945206
MK40 1SQ,-0.466958,52.135071
G511DH,-4.296526,55.853826
NG16 6LP,-1.317044,53.090369
SY8 2HD,-2.742791,52.362743
DE24 9GL,-1.483424,52.888139
G2 8LX,-4.262924,55.859023
L2 7NX,-2.99134,53.40474
SP4 9HZ,-1.728506,51.192284
SP2 9LL,-1.82454,51.078425
UB1 1PN,-0.388882,51.513192
DL9 3LD,-1.71705,54.370269
SO4 4ZG,NA,NA
RG1 7LL,-0.980708,51.455229
BH20 7PA,-2.140533,50.709162
CT20 3HG,1.16357735939471,51.07983618285
G75 8EA,-4.224239,55.760917
EX33 2NU,-4.190206,51.104975
OX25 4AL,-1.244061,51.914855
GL1 2HJ,-2.247792,51.864746
B6 6AJ,-1.898883,52.508795
SG14 1DH,-0.077146,51.796341
EH3 7HS,-3.20629786363636,55.9522083719008
SO41 9GA,-1.549408,50.756849
CM1 1EH,0.472462,51.734731
B2 4QJ,-1.896935,52.478623
TF3 9HX,-2.44806236692913,52.666954103937
TN23 1YB,0.8701,51.148441
RG1 1DY,-0.969772770967742,51.4507750903224
NE8 1ZZ,-1.60657927884616,54.9549411153846
B2 4AR,-1.895696,52.479566
DE24 9HY,-1.461844,52.892871
SG8 5LX,-0.043574,52.093228
OX25 1PX,-1.071954,51.850426
RG9 5SG,-1.017083,51.588941
WC2R 0DW,-0.121399,51.510275
PE7 8EX,-0.267388,52.534053
NR2 1AR,1.294544,52.629788
SW1P 2DF,-0.130408,51.497459
CT20 2SG,1.168187,51.078567
RH6 0EZ,-0.163695621089224,51.1728420996524
YO7 3EY,-1.398057,54.203588
NA,NA,NA
NG2 1AG,-1.152158,52.947761
PH1 5BT,-3.447722,56.408882
W5 5DH,-0.302595386819484,51.5130913925504
CH5 2LZ,-3.04263640419708,53.2038562354015
M3 5BH,-2.252206,53.483519
B5 4LJ,-1.897441,52.476304
BS1 6EJ,-2.59373983956575,51.4533269396864
L17 1AD,-2.931524,53.388467
EH54 5DE,-3.501426,55.906177
FK8 2HF,-3.939529,56.110561
M21 7QY,-2.257832,53.424731
LE12 5BL,-1.255411,52.793124
LL13 8RD,-2.983891,53.036766
SW1P 3BU,-0.129651,51.497294
MK41 6HL,-0.503644,52.169628
B12 9QA,-1.897434,52.45364
PO30 5PB,-1.31364093296089,50.69107616946
BR1 3PX,0.013419,51.408801
RM1 4DP,0.187621,51.582608
LD1 5DP,-3.377788,52.239434
NE6 1BU,-1.582649,54.968248
SW1a 2BQ,-0.126793,51.501637
EC2A 2BE,-0.082311,51.522311
SN2 1FL,-1.784755,51.566728
SN13 9NP,-2.219902,51.424599
L37 7AD,-3.048005,53.583836
SW1A 2AN,-0.127067,51.502334
RH6 0NX,-0.173969,51.164111
G4 0QW,-4.239238,55.860109
FY2 0EG,-3.020252,53.853107
OL10 2PZ,-2.219633,53.57806
IP27 9PP,0.544491,52.393641
BN7 1YB,0.009745,50.873086
BD19 3LW,-1.713251,53.727195
WF2 9AF,-1.50929,53.683308
KT1 2BB,-0.304698,51.405894
SH1H 9AJ,NA,NA
GL50 3PN,-2.079366,51.900414
CF37 4TD,-3.340269,51.603619
L3 1BP,-2.993539,53.403571
BS31 2YH,-2.498925,51.415587
WS9 8JZ,-1.908981,52.613391
DL3 7RL,-1.558443,54.523642
WC1B4AD,-0.122152,51.519206
B2 4AA,-1.902323,52.479059
IV3 8NW,-4.272556,57.467526
E14 4PE,-0.0189405554285715,51.5062631645715
DL9 3AX,-1.728237,54.3815
GU15 4NR,-0.770484,51.34065
NB2 1AB,NA,NA
SA9 1AB,-3.774427,51.766644
CT15 5LR,1.319564,51.139902
TW6 2AZ,-0.448460209302325,51.470942620155
EH1 3EG,-3.188114,55.95339
LU1 5BT,-0.420143,51.877719
MK3 6DH,-0.742419,51.993923
OX4 2PY,-1.201358,51.740689
PO17 6AR,-1.107593,50.857633
IP28 8EJ,0.4921,52.365209
LS12 2BH,-1.587226,53.799991
LL1 3BW,NA,NA
DY6 1QL,-2.16463774966353,52.4984278384926
BD23 1HU,-2.012603,53.961209
LL13 8XN,-2.95932389189189,53.0345846216216
GU21 6BD,-0.580339590790617,51.3210240451781
EH14 2NA,-3.25213,55.92119
LU7 4QG,-0.630878,51.91182
PE30 4LS,0.423187,52.746727
PL15 9NJ,-4.330611,50.612197
EX2 8PU,-3.53159,50.705199
EX31 1AB,-4.082557,51.085027
BS23 3PZ,-2.972818,51.341643
BS4 5JX,-2.542753,51.428808
BS15 4GQ,-2.488293,51.471722
SO16 9FP,-1.455187,50.932683
RG2 0BW,-0.972268,51.442693
RM18 7AE,0.351389,51.464299
PO20 2AA,-0.749787,50.838332
EN3 7XY,-0.021375,51.676861
CM14 5JN,0.296903,51.610536
SS2 6LL,0.708971,51.54845
SS14 3JS,0.488023,51.589097
G4 0DX,-4.252409,55.868164
EH48 1HG,-3.643299,55.900326
EH6 6QP,-3.179294,55.977771
FK1 1XE,-3.761503,55.995564
FY2 0YE,-3.034437,53.839974
G2 8SP,-4.25622245195729,55.8629171316728
HU2 8NF,-0.347504,53.7483
HX3 5AX,-1.863977,53.728243
PE1 1HA,-0.24203,52.57092
S70 2SA,-1.485098,53.553606
SR7 7PR,-1.326026,54.822604
YO31 7JZ,-1.07797,53.963601
SY4 4EF,-2.656718,52.792982
BB12 7NQ,-2.339435,53.79701
CF83 1WT,-3.224405,51.572898
CH41 6JN,-3.01843,53.393401
CV11 4DL,-1.466358,52.522164
DN32 7BE,-0.068792,53.573958
GU1 4QD,-0.575348,51.238076
KY12 9DF,-3.463113,56.074497
M24 1BX,-2.196266,53.548089
